order_id,product_id,category,region,sales_amount,quantity,customer_age,customer_gender,order_date
82,1090,Accessories,West,620.04,2,31,Non-Binary,4/11/2024
83,1100,Accessories,West,3312.91,7,48,Female,5/21/2024
84,1020,Apparel,North,2965.21,7,47,Female,3/30/2024
85,1159,Apparel,West,640.7,3,61,Female,2/13/2024
86,1081,Apparel,East,826.24,5,31,Non-Binary,5/6/2024
87,1163,Electronics,North,2375.96,6,40,Male,4/15/2024
88,1136,Apparel,South,1944.88,6,62,Female,2/25/2024
89,1065,Apparel,North,766.84,10,28,Male,3/29/2024
90,1037,Electronics,East,3226.62,10,40,Male,1/4/2024
91,1081,Apparel,East,821.79,6,28,Non-Binary,4/6/2024
92,1104,Electronics,East,333.61,2,56,Male,5/21/2024
93,1187,Accessories,North,1076.29,3,29,Male,2/13/2024
94,1021,Apparel,West,2940.92,10,57,Non-Binary,1/28/2024
95,1135,Accessories,South,3337.63,9,65,Non-Binary,3/3/2024
96,1120,Apparel,West,2973.32,8,52,Male,2/13/2024
97,1070,Accessories,North,1148.07,3,53,Female,3/20/2024
98,1056,Accessories,South,131.2,6,22,Male,3/14/2024
99,1033,Apparel,North,2224.92,7,24,Non-Binary,4/10/2024
100,1129,Home Goods,North,1208.77,6,59,Non-Binary,1/18/2024
101,1118,Home Goods,South,94.11,2,26,Female,5/19/2024
102,1036,Home Goods,South,256.6,8,70,Non-Binary,3/21/2024
103,1094,Electronics,North,2719.71,7,40,Male,4/4/2024
104,1086,Electronics,West,877.96,5,64,Female,4/8/2024
105,1106,Sneakers,East,16.17,1,24,Male,4/6/2024
106,1130,Electronics,East,497.66,3,54,Female,3/12/2024
107,1019,Accessories,East,223.37,2,52,Male,5/10/2024
108,1127,Accessories,South,2687.92,7,68,Female,1/3/2024
109,1043,Apparel,South,674.74,2,27,Non-Binary,1/12/2024
110,1140,Sneakers,West,1532.54,9,32,Female,1/14/2024
111,1124,Apparel,East,3378.4,7,40,Female,5/4/2024
112,1136,Apparel,North,34.83,3,39,Male,2/10/2024
113,1005,Sneakers,North,2232.25,9,70,Non-Binary,4/22/2024
114,1195,Sneakers,North,3523.43,9,58,Non-Binary,5/19/2024
115,1170,Apparel,North,539.67,3,62,Female,4/27/2024
116,1082,Accessories,West,122.87,5,29,Non-Binary,1/24/2024
117,1127,Accessories,South,296.72,8,52,Non-Binary,2/10/2024
118,1151,Accessories,West,871.85,2,36,Male,2/10/2024
119,1066,Electronics,North,852.91,2,40,Male,3/2/2024
120,1196,Home Goods,East,397.03,8,66,Male,2/9/2024
121,1059,Apparel,West,1172.49,8,35,Non-Binary,1/28/2024
122,1101,Accessories,West,1924.39,5,56,Female,5/13/2024
123,1180,Accessories,West,367.6,4,47,Female,5/3/2024
124,1053,Apparel,North,1274.02,4,56,Non-Binary,1/31/2024
125,1131,Accessories,South,909.05,3,46,Female,5/1/2024
126,1022,Apparel,North,226.39,1,26,Male,1/6/2024
127,1091,Sneakers,West,260.76,1,53,Female,5/9/2024
128,1129,Home Goods,North,2184,6,52,Female,3/16/2024
129,1096,Electronics,West,1246.58,5,19,Male,1/6/2024
130,1031,Home Goods,West,484.11,6,22,Male,1/26/2024
131,1107,Sneakers,East,2742.2,7,67,Female,4/16/2024
132,1146,Home Goods,East,4147.87,10,39,Male,5/2/2024
133,1065,Apparel,South,856.22,2,59,Male,5/31/2024
134,1136,Apparel,North,574.12,2,23,Non-Binary,5/11/2024
135,1087,Electronics,South,1223.07,3,33,Non-Binary,2/18/2024
136,1028,Apparel,East,3806.85,9,38,Non-Binary,3/6/2024
137,1062,Accessories,North,573.24,2,70,Male,4/2/2024
138,1004,Apparel,South,2160.32,5,34,Non-Binary,3/16/2024
139,1085,Accessories,North,4063.24,10,69,Male,3/10/2024
140,1048,Apparel,West,2688.94,7,55,Non-Binary,5/17/2024
141,1114,Home Goods,South,731.8,3,68,Female,2/11/2024
142,1067,Accessories,North,1892.24,8,55,Female,1/28/2024
143,1028,Apparel,North,1648.42,6,46,Non-Binary,5/20/2024
144,1021,Apparel,North,113.03,2,39,Non-Binary,4/28/2024
145,1117,Home Goods,West,255.73,4,55,Male,5/21/2024
146,1050,Apparel,North,3800.63,10,32,Non-Binary,3/14/2024
147,1199,Accessories,North,3506.8,8,28,Female,3/10/2024
148,1143,Accessories,East,3054.05,10,55,Male,3/10/2024
149,1046,Electronics,North,1144.42,5,65,Non-Binary,3/29/2024
150,1169,Accessories,West,2613.12,8,41,Non-Binary,3/2/2024
151,1131,Accessories,West,2531.03,7,31,Male,4/9/2024
152,1054,Apparel,North,1970.91,8,62,Male,4/3/2024
153,1143,Accessories,North,4080.27,10,29,Male,4/28/2024
154,1104,Electronics,North,119.1,1,53,Male,5/19/2024
155,1167,Sneakers,North,124.6,2,56,Male,4/30/2024
156,1111,Accessories,East,649.64,3,44,Female,5/15/2024
157,1005,Sneakers,East,879.48,2,22,Non-Binary,1/30/2024
158,1194,Electronics,West,881.07,3,25,Non-Binary,3/20/2024
159,1074,Home Goods,South,1764.47,5,56,Female,4/25/2024
160,1121,Electronics,East,250.93,2,29,Female,1/13/2024
161,1058,Accessories,East,3508.07,9,52,Male,2/18/2024
162,1144,Sneakers,East,705.36,2,69,Female,2/23/2024
163,1096,Electronics,North,3149.2,7,52,Male,1/20/2024
164,1131,Accessories,West,1507.39,5,51,Female,1/25/2024
165,1110,Apparel,East,1867.77,4,51,Non-Binary,1/27/2024
166,1127,Accessories,South,1461.9,7,42,Female,5/23/2024
167,1029,Apparel,West,4272.93,10,46,Male,3/16/2024
168,1149,Home Goods,North,308.41,1,31,Female,3/25/2024
169,1138,Apparel,West,977.47,4,47,Non-Binary,1/8/2024
170,1012,Electronics,East,1081.82,6,19,Female,3/14/2024
171,1145,Sneakers,North,463.18,1,38,Female,1/11/2024
172,1155,Apparel,East,93.36,1,23,Female,1/3/2024
173,1091,Sneakers,South,1707.76,4,66,Non-Binary,5/25/2024
174,1174,Sneakers,West,641.39,3,69,Non-Binary,1/23/2024
175,1199,Accessories,East,2210.17,5,44,Male,1/6/2024
176,1126,Electronics,West,2711.56,10,55,Male,4/24/2024
177,1151,Accessories,South,2360.64,7,41,Female,1/31/2024
178,1147,Accessories,South,1993.15,4,51,Male,3/21/2024
179,1121,Electronics,South,617.99,6,61,Female,2/16/2024
180,1097,Sneakers,East,399.43,10,38,Male,2/17/2024
181,1010,Sneakers,South,4468.03,9,33,Male,3/2/2024
182,1065,Apparel,North,1162.04,3,58,Non-Binary,3/28/2024
183,1045,Sneakers,North,1861.25,4,45,Non-Binary,1/18/2024
184,1047,Home Goods,East,809.85,4,69,Male,1/10/2024
185,1187,Accessories,West,1457.95,7,36,Non-Binary,5/24/2024
186,1197,Accessories,East,786.48,2,55,Male,1/19/2024
187,1086,Electronics,East,386.93,2,57,Male,3/20/2024
188,1088,Apparel,South,78.15,4,59,Female,5/2/2024
189,1073,Accessories,West,1665.19,10,70,Female,3/12/2024
190,1188,Electronics,West,2591.76,6,44,Non-Binary,2/24/2024
191,1141,Sneakers,West,1669.33,7,33,Non-Binary,2/26/2024
192,1173,Home Goods,North,1624.93,5,29,Male,5/16/2024
193,1007,Sneakers,West,3908,9,21,Non-Binary,5/1/2024
194,1104,Electronics,South,548.55,7,61,Female,2/2/2024
195,1071,Accessories,East,995.14,4,50,Non-Binary,5/26/2024
196,1032,Apparel,North,2607.96,7,60,Female,3/16/2024
197,1086,Electronics,West,338.35,2,65,Male,3/7/2024
198,1167,Sneakers,North,2344.73,6,31,Male,5/4/2024
199,1156,Home Goods,West,4187.2,9,48,Female,1/10/2024
200,1086,Electronics,North,536.17,4,29,Non-Binary,3/1/2024
201,1042,Sneakers,South,600.93,3,40,Male,5/9/2024
202,1189,Home Goods,West,65.42,3,68,Male,1/10/2024
203,1165,Electronics,East,250.53,6,42,Non-Binary,4/24/2024
204,1125,Apparel,West,438.56,8,30,Non-Binary,2/14/2024
205,1098,Accessories,North,842.43,9,25,Non-Binary,2/9/2024
206,1182,Sneakers,West,3052.66,8,64,Female,2/15/2024
207,1101,Accessories,West,524.07,2,52,Female,5/27/2024
208,1038,Apparel,South,154.9,2,49,Non-Binary,4/13/2024
209,1166,Home Goods,East,2914.69,7,36,Non-Binary,2/5/2024
210,1079,Sneakers,West,925.31,6,54,Male,1/11/2024
211,1031,Home Goods,North,2310.35,5,26,Non-Binary,1/25/2024
212,1034,Accessories,South,947.88,3,66,Non-Binary,2/23/2024
213,1125,Apparel,East,96.99,3,30,Female,5/22/2024
214,1079,Sneakers,West,279.8,7,35,Male,2/28/2024
215,1043,Apparel,East,2557.72,6,48,Male,2/5/2024
216,1183,Apparel,South,1218.33,3,19,Female,1/6/2024
217,1179,Sneakers,North,435.23,2,38,Male,1/1/2024
218,1162,Sneakers,East,4799.87,10,60,Male,4/1/2024
219,1113,Apparel,North,2966.12,7,36,Female,4/25/2024
220,1049,Apparel,North,401.43,1,40,Male,1/12/2024
221,1096,Electronics,North,676.66,7,49,Female,1/14/2024
222,1074,Home Goods,West,711.14,3,20,Non-Binary,2/24/2024
223,1143,Accessories,West,56.45,1,61,Female,4/22/2024
224,1106,Sneakers,South,845.85,7,58,Male,2/22/2024
225,1110,Apparel,West,2840.71,7,53,Female,3/10/2024
226,1127,Accessories,East,704.5,2,50,Female,5/13/2024
227,1004,Apparel,West,359.33,3,31,Female,1/21/2024
228,1195,Sneakers,West,529.19,7,67,Male,3/24/2024
229,1038,Apparel,South,744.65,2,34,Male,5/8/2024
230,1192,Electronics,South,798.76,4,48,Non-Binary,3/27/2024
231,1087,Electronics,South,922.24,3,21,Non-Binary,4/22/2024
232,1086,Electronics,North,667.46,4,55,Male,5/24/2024
233,1113,Apparel,North,885.31,7,31,Non-Binary,2/22/2024
234,1086,Electronics,North,2489.1,10,53,Male,3/25/2024
235,1164,Sneakers,South,295.51,1,33,Female,1/9/2024
236,1154,Apparel,East,915.45,9,45,Non-Binary,4/4/2024
237,1129,Home Goods,North,953.4,2,67,Female,5/20/2024
238,1154,Apparel,East,464.09,5,64,Male,5/3/2024
239,1030,Accessories,East,2457.2,7,59,Non-Binary,5/2/2024
240,1079,Sneakers,South,428.16,10,48,Male,4/21/2024
241,1027,Sneakers,South,1106.19,4,53,Female,4/28/2024
242,1085,Accessories,East,957.92,5,54,Non-Binary,3/8/2024
243,1074,Home Goods,East,191.98,1,30,Male,2/18/2024
244,1065,Apparel,West,1509.81,6,31,Male,2/27/2024
245,1016,Home Goods,North,530.31,3,33,Non-Binary,2/7/2024
246,1094,Electronics,South,1529.88,6,46,Male,3/28/2024
247,1077,Apparel,North,1035.17,8,50,Male,4/13/2024
248,1080,Home Goods,East,977.43,2,48,Non-Binary,5/15/2024
249,1027,Sneakers,North,2009.75,10,50,Female,3/29/2024
250,1123,Accessories,North,523.5,10,34,Male,1/19/2024
251,1111,Accessories,North,2226.88,5,21,Male,5/28/2024
252,1026,Electronics,North,3369.77,7,50,Male,3/27/2024
253,1175,Accessories,West,4265.82,10,46,Female,2/11/2024
254,1186,Electronics,West,686.95,9,18,Male,3/14/2024
255,1174,Sneakers,North,3325.59,10,20,Female,4/5/2024
256,1045,Sneakers,East,1262.52,7,38,Male,4/3/2024
257,1194,Electronics,West,65.04,2,50,Female,2/14/2024
258,1185,Apparel,West,18.85,1,52,Female,2/9/2024
259,1193,Electronics,North,3373.72,7,28,Non-Binary,2/22/2024
260,1096,Electronics,East,349.63,4,65,Female,4/21/2024
261,1044,Home Goods,North,647.62,2,50,Non-Binary,5/22/2024
262,1180,Accessories,West,2548.34,6,55,Non-Binary,1/25/2024
263,1148,Sneakers,West,965.62,5,66,Non-Binary,2/18/2024
264,1191,Electronics,East,646.77,4,69,Non-Binary,3/24/2024
265,1072,Home Goods,South,51.35,2,41,Male,3/28/2024
266,1004,Apparel,East,1260.12,3,65,Non-Binary,4/3/2024
267,1115,Electronics,North,241.15,4,68,Female,2/16/2024
268,1170,Apparel,West,1833.57,5,34,Male,3/10/2024
269,1028,Apparel,South,396.02,2,61,Female,1/30/2024
270,1179,Sneakers,West,313.75,8,27,Non-Binary,1/12/2024
271,1036,Home Goods,North,1143.16,6,43,Male,3/28/2024
272,1019,Accessories,West,1379.58,6,61,Male,1/26/2024
273,1045,Sneakers,East,672.97,6,49,Non-Binary,5/2/2024
274,1101,Accessories,West,304.48,1,30,Non-Binary,5/28/2024
275,1019,Accessories,West,3168.66,10,31,Female,4/20/2024
276,1132,Electronics,South,1810.2,7,34,Male,3/5/2024
277,1117,Home Goods,East,1617.39,9,65,Non-Binary,3/1/2024
278,1113,Apparel,North,169.76,4,53,Non-Binary,1/29/2024
279,1024,Electronics,South,2903.87,9,29,Female,3/28/2024
280,1016,Home Goods,East,712.22,6,21,Male,1/1/2024
281,1105,Apparel,West,261.05,4,37,Female,4/2/2024
282,1084,Home Goods,North,2449.53,9,70,Male,2/12/2024
283,1063,Home Goods,North,888.56,2,67,Male,1/14/2024
284,1136,Apparel,North,2455.07,6,22,Male,5/10/2024
285,1105,Apparel,North,3362.27,9,42,Non-Binary,3/15/2024
286,1028,Apparel,North,2301.01,5,31,Male,5/30/2024
287,1174,Sneakers,South,1264.18,3,42,Male,2/24/2024
288,1091,Sneakers,South,561.99,8,38,Non-Binary,5/1/2024
289,1138,Apparel,North,1010.54,5,56,Male,2/4/2024
290,1126,Electronics,North,1529.22,10,69,Female,3/17/2024
291,1087,Electronics,South,2017.95,7,38,Male,1/2/2024
292,1100,Accessories,East,1759.78,7,64,Male,4/12/2024
293,1165,Electronics,South,2150.75,6,67,Non-Binary,5/8/2024
294,1179,Sneakers,West,3072.36,7,23,Female,1/8/2024
295,1031,Home Goods,North,1769.79,5,20,Male,2/9/2024
296,1026,Electronics,East,967.28,2,35,Male,1/24/2024
297,1159,Apparel,South,943.01,5,67,Male,2/28/2024
298,1050,Apparel,East,1922.54,7,42,Non-Binary,3/24/2024
299,1011,Apparel,East,2410.09,9,63,Female,4/23/2024
300,1174,Sneakers,South,3230.17,8,36,Male,5/18/2024
301,1107,Sneakers,West,837.02,5,48,Non-Binary,5/20/2024
302,1036,Home Goods,South,1447.36,8,44,Non-Binary,5/1/2024
303,1007,Sneakers,North,677.11,9,40,Non-Binary,3/21/2024
304,1146,Home Goods,North,3721.8,10,58,Male,5/1/2024
305,1113,Apparel,West,2855.29,9,60,Female,2/13/2024
306,1124,Apparel,East,215.5,5,34,Female,1/17/2024
307,1108,Electronics,South,1837.57,10,45,Non-Binary,5/14/2024
308,1081,Apparel,West,885.45,5,67,Female,3/27/2024
309,1122,Electronics,North,38.68,1,57,Male,2/9/2024
310,1109,Accessories,West,828.28,10,32,Male,4/25/2024
311,1021,Apparel,West,75.92,6,34,Female,3/6/2024
312,1146,Home Goods,South,1140.06,7,47,Female,3/22/2024
313,1092,Accessories,East,1536.27,6,32,Non-Binary,2/2/2024
314,1008,Electronics,South,1105.28,7,39,Non-Binary,5/15/2024
315,1020,Apparel,West,2646.66,9,56,Male,1/29/2024
316,1103,Home Goods,South,1018.07,7,40,Male,3/16/2024
317,1080,Home Goods,South,118.64,3,48,Female,2/8/2024
318,1122,Electronics,East,4628.03,10,53,Female,3/10/2024
319,1059,Apparel,West,2490.48,6,64,Non-Binary,3/30/2024
320,1093,Electronics,South,981.46,9,68,Non-Binary,4/1/2024
321,1170,Apparel,West,907.19,5,23,Non-Binary,1/17/2024
322,1141,Sneakers,West,1612.37,6,57,Male,4/1/2024
323,1199,Accessories,South,899,10,34,Male,3/10/2024
324,1040,Sneakers,West,3772.95,8,46,Male,2/23/2024
325,1003,Home Goods,South,1177.95,3,31,Male,1/19/2024
326,1118,Home Goods,West,2274.95,5,50,Non-Binary,1/22/2024
327,1105,Apparel,North,1673.89,7,20,Male,4/24/2024
328,1086,Electronics,East,1343.84,4,31,Non-Binary,1/29/2024
329,1151,Accessories,South,1442.86,3,40,Male,5/22/2024
330,1075,Accessories,South,1269.19,3,52,Male,3/3/2024
331,1176,Home Goods,South,2783.52,10,52,Non-Binary,3/11/2024
332,1049,Apparel,South,2421.31,7,20,Male,4/30/2024
333,1051,Home Goods,East,1434.96,10,60,Non-Binary,4/12/2024
334,1079,Sneakers,North,135.29,2,30,Female,2/10/2024
335,1134,Electronics,North,563.68,4,50,Non-Binary,4/10/2024
336,1031,Home Goods,South,692.04,3,53,Non-Binary,4/23/2024
337,1012,Electronics,North,357.06,10,70,Female,5/11/2024
338,1127,Accessories,South,1527.74,5,27,Female,3/20/2024
339,1018,Apparel,West,1232.53,3,65,Male,4/10/2024
340,1198,Sneakers,South,1808.58,9,69,Non-Binary,3/24/2024
341,1144,Sneakers,East,549.85,9,41,Male,4/18/2024
342,1192,Electronics,West,188.65,1,39,Male,5/20/2024
343,1163,Electronics,West,1314.65,6,29,Female,4/24/2024
344,1057,Sneakers,South,2428.71,5,19,Non-Binary,5/25/2024
345,1153,Home Goods,East,579.67,2,59,Non-Binary,5/24/2024
346,1016,Home Goods,East,205.19,1,70,Female,2/27/2024
347,1132,Electronics,South,1768.24,5,57,Female,2/22/2024
348,1141,Sneakers,South,478.34,6,20,Female,4/27/2024
349,1160,Sneakers,North,670.52,4,57,Non-Binary,1/30/2024
350,1103,Home Goods,South,3837.28,8,41,Female,4/10/2024
351,1188,Electronics,East,4246.79,10,64,Non-Binary,3/9/2024
352,1083,Apparel,South,332.14,5,50,Male,4/24/2024
353,1197,Accessories,South,383,3,52,Female,2/15/2024
354,1178,Electronics,West,23.33,1,58,Female,4/15/2024
355,1036,Home Goods,North,998.68,2,65,Female,5/10/2024
356,1016,Home Goods,North,3077.23,10,35,Female,5/24/2024
357,1083,Apparel,North,3106.32,10,32,Non-Binary,2/4/2024
358,1192,Electronics,East,2808.85,9,32,Male,2/20/2024
359,1078,Electronics,East,142.77,2,61,Non-Binary,5/9/2024
360,1102,Home Goods,West,198.35,1,61,Female,5/12/2024
361,1121,Electronics,South,2947.22,7,34,Female,4/28/2024
362,1057,Sneakers,South,1431.39,6,21,Female,1/13/2024
363,1186,Electronics,North,720.46,9,23,Non-Binary,4/18/2024
364,1135,Accessories,South,2131.6,7,70,Male,3/11/2024
365,1119,Home Goods,East,742.84,3,39,Female,4/2/2024
366,1094,Electronics,West,1324.46,3,36,Non-Binary,5/19/2024
367,1129,Home Goods,West,2626.53,9,46,Non-Binary,4/27/2024
368,1147,Accessories,West,560.12,8,35,Non-Binary,4/14/2024
369,1064,Electronics,West,797.94,7,57,Non-Binary,2/29/2024
370,1186,Electronics,North,662.02,2,40,Non-Binary,5/17/2024
371,1026,Electronics,West,1564.01,5,22,Female,3/8/2024
372,1144,Sneakers,North,979.13,2,46,Non-Binary,5/23/2024
373,1027,Sneakers,East,1837.92,8,46,Non-Binary,2/25/2024
374,1115,Electronics,West,376.02,2,26,Male,2/15/2024
375,1035,Home Goods,South,1318.06,5,42,Female,3/20/2024
376,1112,Apparel,East,3844.94,8,50,Female,5/24/2024
377,1038,Apparel,South,209.16,9,70,Female,1/26/2024
378,1038,Apparel,South,450.58,8,37,Non-Binary,4/7/2024
379,1196,Home Goods,East,1457.28,6,53,Male,3/2/2024
380,1092,Accessories,West,627.03,5,29,Female,1/25/2024
381,1170,Apparel,East,1057.77,3,22,Non-Binary,3/7/2024
382,1052,Sneakers,West,429.56,1,24,Male,1/1/2024
383,1187,Accessories,North,3046.67,7,31,Male,2/7/2024
384,1055,Apparel,South,1446.48,3,34,Female,2/18/2024
385,1070,Accessories,West,737.89,2,45,Female,2/21/2024
386,1158,Accessories,East,2361.53,5,53,Male,3/3/2024
387,1181,Sneakers,South,2462.16,9,61,Male,4/16/2024
388,1129,Home Goods,North,1329.41,9,21,Male,4/14/2024
389,1097,Sneakers,East,173.31,1,69,Male,4/29/2024
390,1172,Sneakers,South,713.79,4,29,Non-Binary,2/17/2024
391,1105,Apparel,North,2275.66,7,38,Non-Binary,5/11/2024
392,1117,Home Goods,East,2688.2,10,65,Female,2/9/2024
393,1166,Home Goods,West,566.3,10,66,Male,3/11/2024
394,1011,Apparel,South,1573.02,9,53,Male,4/7/2024
395,1071,Accessories,South,2174.35,5,67,Female,4/1/2024
396,1037,Electronics,North,929.78,3,18,Male,1/12/2024
397,1131,Accessories,South,1257.63,8,61,Non-Binary,5/31/2024
398,1155,Apparel,North,558.87,4,49,Male,5/9/2024
399,1158,Accessories,North,557.58,10,40,Female,5/29/2024
400,1005,Sneakers,East,3563.5,8,46,Male,4/27/2024
401,1056,Accessories,East,2672.66,8,31,Male,1/1/2024
402,1186,Electronics,North,368.94,1,19,Female,3/10/2024
403,1060,Sneakers,West,190.85,1,32,Female,3/17/2024
404,1106,Sneakers,North,2493.34,6,23,Non-Binary,3/23/2024
405,1035,Home Goods,East,1817.26,7,24,Non-Binary,1/19/2024
406,1137,Home Goods,South,241.03,1,48,Male,3/1/2024
407,1145,Sneakers,East,847.52,10,18,Male,5/16/2024
408,1122,Electronics,North,173.88,1,69,Female,1/13/2024
409,1073,Accessories,East,2288.57,7,69,Female,2/18/2024
410,1051,Home Goods,East,163.91,7,45,Male,3/6/2024
411,1082,Accessories,West,630.64,3,46,Male,1/16/2024
412,1032,Apparel,East,1315.91,3,26,Female,4/23/2024
413,1086,Electronics,North,630.35,3,60,Male,2/3/2024
414,1101,Accessories,South,1219.1,7,65,Male,4/24/2024
415,1109,Accessories,West,1079.91,9,58,Non-Binary,1/2/2024
416,1042,Sneakers,North,650.27,7,27,Male,4/29/2024
417,1108,Electronics,West,297.31,6,42,Male,4/11/2024
418,1083,Apparel,East,99.82,1,20,Non-Binary,2/24/2024
419,1101,Accessories,West,23.81,1,25,Non-Binary,3/5/2024
420,1031,Home Goods,North,713.39,3,27,Female,2/17/2024
421,1082,Accessories,South,96.81,7,44,Female,3/27/2024
422,1082,Accessories,East,36.54,1,61,Female,3/25/2024
423,1186,Electronics,North,1884.42,6,39,Female,2/10/2024
424,1158,Accessories,East,691.52,5,50,Female,1/5/2024
425,1196,Home Goods,West,153.52,3,35,Male,4/10/2024
426,1083,Apparel,North,2773.78,8,54,Non-Binary,3/17/2024
427,1180,Accessories,East,2982.07,7,65,Non-Binary,2/18/2024
428,1016,Home Goods,West,193.89,4,68,Non-Binary,5/13/2024
429,1000,Accessories,East,1559.94,8,65,Non-Binary,2/5/2024
430,1088,Apparel,East,164.45,1,58,Female,1/12/2024
431,1154,Apparel,South,1221.13,10,20,Non-Binary,1/15/2024
432,1013,Sneakers,West,648.66,2,62,Female,3/3/2024
